frame,row,col,x,y,z,is_edge,is_planar
2,0,0,-1048.000000,-825.000000,2006.000000,0,0
2,0,1,-1051.000000,-787.000000,2027.000000,0,0
2,0,2,-1085.000000,-771.000000,2106.000000,0,0
2,0,3,-1121.000000,-753.000000,2189.000000,0,0
2,0,4,-1147.000000,-726.000000,2252.000000,0,0
2,0,5,-1137.000000,-677.000000,2246.000000,0,0
2,0,6,-1104.000000,-614.000000,2192.000000,0,0
2,0,7,-1155.000000,-598.000000,2303.000000,0,0
2,0,8,-1171.000000,-561.000000,2345.000000,0,0
2,0,9,-1186.000000,-523.000000,2385.000000,0,0
2,0,10,-1136.000000,-458.000000,2294.000000,0,0
2,0,11,-1173.000000,-428.000000,2376.000000,0,0
2,0,12,-1189.000000,-388.000000,2415.000000,0,0
2,0,13,-1187.000000,-341.000000,2417.000000,0,0
2,0,14,-1228.000000,-306.000000,2506.000000,0,0
2,0,15,-1228.000000,-259.000000,2511.000000,0,0
2,0,16,-1224.000000,-211.000000,2508.000000,0,0
2,0,17,-1251.000000,-168.000000,2566.000000,0,0
2,0,18,-1214.000000,-116.000000,2494.000000,0,0
2,0,19,-1214.000000,-70.000000,2494.000000,0,0
2,0,20,-1208.000000,-23.000000,2483.000000,0,0
2,0,21,-1153.000000,22.000000,2371.000000,0,0
2,0,22,-1163.000000,67.000000,2391.000000,0,0
2,0,23,-1151.000000,110.000000,2364.000000,0,0
2,0,24,-1116.000000,150.000000,2290.000000,0,0
2,0,25,-1099.000000,190.000000,2253.000000,0,0
2,0,26,-1084.000000,229.000000,2220.000000,0,0
2,0,27,-1076.000000,268.000000,2198.000000,0,0
2,0,28,-1070.000000,308.000000,2181.000000,0,0
2,0,29,-1046.000000,341.000000,2127.000000,0,0
2,0,30,-1024.000000,374.000000,2076.000000,0,0
2,0,31,-1043.000000,420.000000,2107.000000,0,0
2,0,32,-1019.000000,450.000000,2052.000000,0,0
2,0,33,-1000.000000,480.000000,2005.000000,0,0
2,0,34,-1010.000000,524.000000,2017.000000,0,0
2,0,35,-984.000000,548.000000,1957.000000,0,0
2,0,36,-997.000000,594.000000,1972.000000,0,0
2,0,37,-964.000000,611.000000,1896.000000,0,0
2,0,38,-971.000000,653.000000,1898.000000,0,0
2,0,39,-971.000000,690.000000,1886.000000,0,0
2,0,40,-946.000000,709.000000,1827.000000,0,0
2,0,41,-956.000000,753.000000,1832.000000,0,0
2,1,0,-957.000000,-784.000000,1924.000000,0,0
2,1,1,-971.000000,-757.000000,1966.000000,0,0
2,1,2,-985.000000,-728.000000,2008.000000,0,0
2,1,3,-1032.000000,-721.000000,2115.000000,0,0
2,1,4,-1028.000000,-677.000000,2119.000000,0,0
2,1,5,-1067.000000,-660.000000,2211.000000,0,0
2,1,6,-1057.000000,-612.000000,2202.000000,0,0
2,1,7,-1106.000000,-596.000000,2314.000000,0,0
2,1,8,-1138.000000,-567.000000,2390.000000,0,0
2,1,9,-1163.000000,-533.000000,2451.000000,0,0
2,1,10,-1137.000000,-476.000000,2408.000000,0,0
2,1,11,-1141.000000,-432.000000,2424.000000,0,0
2,1,12,-1162.000000,-394.000000,2475.000000,0,0
2,1,13,-1180.000000,-353.000000,2520.000000,0,0
2,1,14,-1208.000000,-313.000000,2585.000000,0,0
2,1,15,-1201.000000,-263.000000,2575.000000,0,0
2,1,16,-1213.000000,-218.000000,2604.000000,0,0
2,1,17,-1206.000000,-168.000000,2594.000000,0,0
2,1,18,-1186.000000,-118.000000,2554.000000,0,0
2,1,19,-1171.000000,-70.000000,2523.000000,0,0
