frame,row,col,x,y,z,conf
2,0,0,-1048,-825,2006,0
2,1,0,-957,-784,1924,0
2,2,0,-887,-757,1874,0
2,3,0,-840,-748,1868,0
2,4,0,-823,-766,1926,0
2,5,0,-772,-753,1909,0
2,6,0,-762,-780,1991,0
2,7,0,-732,-788,2026,0
2,8,0,-707,-803,2076,0
2,9,0,-686,-825,2146,0
2,10,0,-672,-858,2244,0
2,11,0,-620,-844,2220,0
2,12,0,-598,-872,2304,0
2,13,0,-575,-901,2392,0
2,14,0,-544,-924,2463,0
2,15,0,-2423,-4487,12000,0
2,16,0,-460,-936,2513,0
2,17,0,-451,-1017,2738,0
2,18,0,-384,-973,2627,0
2,19,0,-355,-1026,2776,0
2,20,0,-308,-1036,2810,0
2,21,0,-271,-1089,2957,0
2,22,0,-219,-1092,2972,0
2,23,0,-668,-4405,12000,0
2,24,0,-121,-1169,3186,0
2,25,0,-63,-1155,3151,0
2,26,0,-6,-1148,3132,0
2,27,0,49,-1125,3069,0
2,28,0,102,-1111,3028,0
2,29,0,155,-1096,2985,0
2,30,0,205,-1080,2940,0
2,31,0,256,-1073,2916,0
2,32,0,311,-1081,2932,0
2,33,0,353,-1050,2842,0
2,34,0,405,-1050,2835,0
2,35,0,453,-1042,2807,0
2,36,0,490,-1014,2724,0
2,37,0,526,-988,2643,0
2,38,0,562,-968,2580,0
2,39,0,621,-986,2617,0
2,40,0,669,-986,2606,0
2,41,0,692,-950,2500,0
2,42,0,750,-966,2528,0
2,43,0,781,-947,2464,0
2,44,0,823,-941,2435,0
2,45,0,873,-946,2432,0
2,46,0,904,-930,2375,0
2,47,0,950,-930,2360,0
2,48,0,993,-928,2337,0
2,49,0,1017,-909,2271,0
2,50,0,1075,-920,2281,0
2,51,0,1107,-910,2234,0
2,52,0,1130,-892,2172,0
2,53,0,1193,-908,2189,0
2,0,1,-1051,-787,2027,0
2,1,1,-971,-757,1966,0
2,2,1,-903,-733,1921,0
2,3,1,-833,-706,1866,0
2,4,1,-809,-716,1907,0
2,5,1,-806,-747,2004,0
2,6,1,-761,-741,2002,0
2,7,1,-748,-766,2082,0
2,8,1,-726,-784,2146,0
2,9,1,-689,-788,2170,0
2,10,1,-657,-797,2207,0
2,11,1,-627,-811,2257,0
2,12,1,-598,-829,2317,0
2,13,1,-570,-850,2388,0
2,14,1,-543,-877,2473,0
2,15,1,-502,-883,2499,0
2,16,1,-460,-890,2528,0
2,17,1,-428,-919,2618,0
2,18,1,-405,-974,2783,0
2,19,1,-1525,-4191,12000,0
2,20,1,-314,-1002,2876,0
2,21,1,-272,-1038,2983,0
2,22,1,-222,-1052,3027,0
2,23,1,-175,-1093,3150,0
2,24,1,-120,-1105,3187,0
2,25,1,-64,-1118,3226,0
2,26,1,-6,-1086,3133,0
2,27,1,49,-1081,3120,0
2,28,1,105,-1081,3118,0
2,29,1,157,-1060,3055,0
2,30,1,211,-1059,3048,0
2,31,1,256,-1021,2935,0
2,32,1,308,-1020,2928,0
2,33,1,356,-1007,2885,0
2,34,1,395,-975,2787,0
2,35,1,442,-967,2756,0
2,36,1,486,-957,2718,0
2,37,1,543,-971,2749,0
2,38,1,591,-968,2731,0
2,39,1,627,-948,2663,0
2,40,1,676,-948,2651,0
2,41,1,700,-914,2546,0
2,42,1,761,-933,2584,0
2,43,1,784,-903,2488,0
2,44,1,834,-908,2486,0
2,45,1,869,-895,2436,0
2,46,1,905,-885,2394,0
2,47,1,944,-879,2361,0
2,48,1,1007,-895,2386,0
2,49,1,1030,-875,2315,0
2,50,1,1061,-864,2267,0
2,51,1,1117,-873,2271,0
2,52,1,1149,-864,2226,0
2,53,1,1196,-866,2210,0
2,0,2,-1085,-771,2106,0
2,1,2,-985,-728,2008,0
2,2,2,-959,-738,2053,0
2,3,2,-870,-699,1960,0
2,4,2,-833,-700,1977,0
2,5,2,-825,-725,2065,0
2,6,2,-774,-714,2047,0
2,7,2,-751,-730,2105,0
2,8,2,-714,-732,2126,0
2,9,2,-687,-745,2176,0
2,10,2,-674,-777,2280,0
2,11,2,-653,-802,2367,0
2,12,2,-607,-798,2367,0
2,13,2,-583,-825,2457,0
2,14,2,-543,-831,2485,0
2,15,2,-508,-847,2543,0
2,16,2,-484,-887,2670,0
2,17,2,-448,-912,2756,0
2,18,2,-397,-907,2747,0
2,19,2,-358,-934,2837,0
2,20,2,-322,-975,2965,0
2,21,2,-271,-980,2989,0
2,22,2,-221,-996,3040,0
2,23,2,-177,-1053,3217,0
2,24,2,-122,-1068,3268,0
2,25,2,-63,-1048,3208,0
2,26,2,-7,-1044,3197,0
2,27,2,50,-1038,3175,0
2,28,2,105,-1031,3154,0
2,29,2,159,-1016,3104,0
2,30,2,210,-998,3049,0
2,31,2,258,-977,2978,0
2,32,2,306,-960,2923,0
2,33,2,354,-948,2880,0
2,34,2,410,-962,2914,0
2,35,2,456,-947,2863,0
2,36,2,498,-931,2804,0
2,37,2,541,-918,2756,0
2,38,2,599,-931,2786,0
2,39,2,640,-918,2736,0
2,40,2,690,-918,2724,0
2,41,2,707,-877,2590,0
2,42,2,775,-901,2648,0
2,43,2,812,-888,2596,0
2,44,2,836,-863,2506,0
2,45,2,874,-855,2468,0
2,46,2,923,-857,2458,0
2,47,2,945,-836,2380,0
2,48,2,1006,-849,2401,0
2,49,2,1028,-829,2327,0
2,50,2,1077,-832,2317,0
2,51,2,1118,-829,2288,0
2,52,2,1166,-832,2276,0
2,53,2,1203,-826,2238,0
2,0,3,-1121,-753,2189,0
2,1,3,-1032,-721,2115,0
2,2,3,-941,-685,2027,0
2,3,3,-875,-664,1982,0
2,4,3,-842,-669,2010,0
2,5,3,-810,-674,2041,0
2,6,3,-776,-678,2066,0
2,7,3,-763,-701,2150,0
2,8,3,-729,-707,2182,0
2,9,3,-705,-724,2247,0
2,10,3,-700,-762,2379,0
2,11,3,-662,-768,2411,0
2,12,3,-618,-769,2424,0
2,13,3,-588,-787,2491,0
2,14,3,-548,-794,2523,0
2,15,3,-512,-808,2578,0
2,16,3,-475,-824,2637,0
2,17,3,-452,-870,2794,0
2,18,3,-408,-881,2838,0
2,19,3,-363,-894,2887,0
2,20,3,-1294,-3709,12000,0
2,21,3,-270,-924,2996,0
2,22,3,-226,-960,3115,0
2,23,3,-173,-974,3166,0
2,24,3,-122,-1008,3276,0
2,25,3,-64,-1005,3268,0
2,26,3,-7,-997,3243,0
2,27,3,49,-979,3187,0
2,28,3,106,-983,3198,0
2,29,3,161,-974,3165,0
2,30,3,215,-968,3143,0
2,31,3,267,-957,3102,0
2,32,3,321,-954,3089,0
2,33,3,359,-912,2945,0
2,34,3,416,-922,2971,0
2,35,3,450,-884,2841,0
2,36,3,499,-883,2829,0
2,37,3,535,-858,2741,0
2,38,3,588,-864,2750,0
2,39,3,629,-853,2703,0
2,40,3,682,-858,2708,0
2,41,3,732,-859,2698,0
2,42,3,754,-829,2590,0
2,43,3,806,-834,2591,0
2,44,3,840,-820,2534,0
2,45,3,878,-812,2494,0
2,46,3,923,-811,2475,0
2,47,3,957,-800,2424,0
2,48,3,1000,-798,2400,0
2,49,3,1047,-799,2386,0
2,50,3,1087,-795,2354,0
2,51,3,1123,-788,2314,0
2,52,3,1171,-790,2300,0
2,53,3,1219,-792,2283,0
2,0,4,-1147,-726,2252,0
2,1,4,-1028,-677,2119,0
2,2,4,-942,-647,2041,0
2,3,4,-901,-645,2052,0
2,4,4,-837,-627,2009,0
2,5,4,-805,-632,2040,0
2,6,4,-760,-626,2035,0
2,7,4,-779,-675,2208,0
2,8,4,-735,-672,2213,0
2,9,4,-688,-666,2204,0
2,10,4,-674,-692,2304,0
2,11,4,-641,-702,2348,0
2,12,4,-632,-741,2492,0
2,13,4,-593,-748,2527,0
2,14,4,-556,-759,2574,0
2,15,4,-526,-783,2666,0
2,16,4,-481,-787,2688,0
2,17,4,-450,-817,2797,0
2,18,4,-410,-836,2871,0
2,19,4,-1501,-3486,12000,0
2,20,4,-1287,-3479,12000,0
2,21,4,-280,-904,3124,0
2,22,4,-228,-915,3166,0
2,23,4,-176,-933,3233,0
2,24,4,-120,-935,3244,0
2,25,4,-63,-934,3241,0
2,26,4,-7,-948,3288,0
2,27,4,50,-926,3214,0
2,28,4,106,-930,3225,0
2,29,4,157,-900,3118,0
2,30,4,213,-904,3130,0
2,31,4,264,-892,3083,0
2,32,4,311,-871,3005,0
2,33,4,369,-883,3041,0
2,34,4,424,-887,3047,0
2,35,4,466,-864,2962,0
2,36,4,515,-859,2935,0
2,37,4,561,-850,2894,0
2,38,4,606,-840,2852,0
2,39,4,648,-828,2799,0
2,40,4,687,-815,2743,0
2,41,4,724,-802,2685,0
2,42,4,774,-802,2674,0
2,43,4,804,-785,2601,0
2,44,4,845,-778,2564,0
2,45,4,914,-797,2611,0
2,46,4,923,-764,2487,0
2,47,4,953,-751,2429,0
2,48,4,1005,-756,2427,0
2,49,4,1050,-755,2405,0
2,50,4,1089,-751,2373,0
2,51,4,1106,-732,2292,0
2,52,4,1170,-744,2311,0
2,53,4,1215,-744,2289,0
2,0,5,-1137,-677,2246,0
2,1,5,-1067,-660,2211,0
2,2,5,-973,-627,2118,0
2,3,5,-898,-604,2058,0
2,4,5,-836,-588,2017,0
2,5,5,-830,-611,2113,0
2,6,5,-804,-622,2163,0
2,7,5,-770,-626,2193,0
2,8,5,-733,-629,2218,0
2,9,5,-716,-650,2305,0
2,10,5,-694,-669,2384,0
2,11,5,-668,-686,2458,0
2,12,5,-636,-700,2518,0
2,13,5,-588,-697,2519,0
2,14,5,-563,-722,2619,0
2,15,5,-535,-748,2724,0
2,16,5,-498,-764,2793,0
2,17,5,-455,-776,2843,0
2,18,5,-408,-781,2868,0
2,19,5,-373,-814,2997,0
2,20,5,-328,-831,3068,0
2,21,5,-289,-874,3232,0
2,22,5,-230,-865,3203,0
2,23,5,-174,-863,3199,0
2,24,5,-117,-860,3191,0
2,25,5,-63,-871,3232,0
2,26,5,-7,-864,3208,0
2,27,5,49,-851,3159,0
2,28,5,105,-867,3217,0
2,29,5,157,-841,3118,0
2,30,5,215,-856,3171,0
2,31,5,270,-857,3171,0
2,32,5,314,-827,3054,0
2,33,5,374,-842,3104,0
2,34,5,426,-836,3074,0
2,35,5,470,-819,3004,0
2,36,5,518,-812,2969,0
2,37,5,559,-796,2899,0
2,38,5,611,-796,2890,0
2,39,5,651,-783,2830,0
2,40,5,694,-774,2786,0
2,41,5,742,-772,2766,0
2,42,5,779,-759,2707,0
2,43,5,843,-773,2740,0
2,44,5,879,-760,2682,0
2,45,5,892,-731,2561,0
2,46,5,939,-731,2545,0
2,47,5,1000,-741,2563,0
2,48,5,1008,-713,2447,0
2,49,5,1052,-712,2425,0
2,50,5,1100,-713,2410,0
2,51,5,1148,-714,2394,0
2,52,5,1178,-704,2340,0
2,53,5,1210,-696,2292,0
2,0,6,-1104,-614,2192,0
2,1,6,-1057,-612,2202,0
2,2,6,-1012,-610,2213,0
2,3,6,-927,-583,2133,0
2,4,6,-868,-571,2105,0
2,5,6,-819,-564,2096,0
2,6,6,-793,-573,2143,0
2,7,6,-769,-585,2201,0
2,8,6,-748,-600,2273,0
2,9,6,-719,-610,2324,0
2,10,6,-687,-620,2373,0
2,11,6,-651,-626,2409,0
2,12,6,-621,-640,2473,0
2,13,6,-606,-672,2606,0
2,14,6,-556,-667,2601,0
2,15,6,-538,-703,2749,0
2,16,6,-485,-696,2731,0
2,17,6,-452,-721,2837,0
2,18,6,-414,-740,2920,0
2,19,6,-376,-767,3032,0
2,20,6,-332,-787,3121,0
2,21,6,-273,-774,3073,0
2,22,6,-223,-786,3125,0
2,23,6,-170,-793,3157,0
2,24,6,-116,-793,3158,0
2,25,6,-61,-795,3169,0
