Timestamp,Row,Col,x,y,z,distance,IMU_x,IMU_y,IMU_z,IMU_roll,IMU_pitch,IMU_yaw,LiDAR_x,LiDAR_y,LiDAR_z,LiDAR_roll,LiDAR_pitch,LiDAR_yaw,EKF_x,EKF_y,EKF_z,EKF_roll,EKF_pitch,EKF_yaw
68672,0,0,2782.66,1070.44,1598.34,2744,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77
68672,0,1,2758.86,721.19,1603.48,2731,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77
68672,0,2,2746.88,398.41,1612.37,2729,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77
68672,0,3,2769.35,89.49,1634.88,2761,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77
68672,0,4,2781.74,-221.98,1653.33,2783,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77
68672,0,5,524.49,-113.04,717.32,524,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77
68672,0,6,499.78,-167.87,709.48,501,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77
68672,0,7,1085.30,-488.22,964.79,1096,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77
68672,1,0,2722.39,1036.94,1236.21,2685,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77
68672,1,1,2728.07,702.88,1250.85,2701,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77
68672,1,2,2791.59,394.71,1281.05,2774,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77
68672,1,3,2735.77,77.91,1277.39,2728,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77
68672,1,4,2755.26,-230.48,1294.98,2757,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77
68672,1,5,517.43,-113.68,649.22,517,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77,3.16,-14.41,498.00,-1.72,0.03,-1.77
